EventTypes,working,commuting,entertainment,home
Fire,0.0,0.0,0.0,0.0
Crackle,0.0,0.0,0.0,0.0517
Vehicle,0.0,13.9418,0.5357,0.4138
"Boat, Water vehicle",0.0,0.0308,0.0,0.0
"Sailboat, sailing ship",0.0,0.0,0.0,0.0
"Rowboat, canoe, kayak",0.0,0.0,0.0,0.0517
"Motorboat, speedboat",0.0,0.0,0.0,0.0
Ship,0.0,0.0205,0.0,0.0
Motor vehicle (road),0.0,0.0,0.0,0.0
Car,0.0,3.4829,0.0,0.0
"Vehicle horn, car horn, honking",0.0,0.0,0.0,0.0
Toot,0.0,0.0,0.0,0.0
Car alarm,0.0,0.0,0.0,0.0
"Power windows, electric windows",0.0,0.0,0.0,0.0
Skidding,0.0,0.0,0.0,0.0
Tire squeal,0.0,0.0,0.0,0.0
Car passing by,0.0,0.0103,0.0,0.0
"Race car, auto racing",0.0,0.0,0.0,0.0
Truck,0.0,0.0514,0.0,0.0
Air brake,0.0,0.0103,0.0,0.0
"Air horn, truck horn",0.0,0.0,0.0,0.0
Reversing beeps,0.0,0.0,0.0,0.0
"Ice cream truck, ice cream van",0.0,0.0,0.0,0.0
Bus,0.0,2.0959,0.0,0.0
Emergency vehicle,0.0,0.0103,0.0,0.0
Police car (siren),0.0,0.0,0.0,0.0
Ambulance (siren),0.0,0.0,0.0,0.0
"Fire engine, fire truck (siren)",0.0,0.0205,0.0,0.0
Motorcycle,0.0,0.0,0.0,0.0
"Traffic noise, roadway noise",0.0,0.0,0.0,0.0
Rail transport,0.0,0.0,0.0,0.0
Train,0.0,1.089,0.0,0.0517
Train whistle,0.0,0.0,0.0,0.0
Train horn,0.0,0.0,0.0,0.0
"Railroad car, train wagon",0.0,0.0103,0.0,0.0
Train wheels squealing,0.0,0.0,0.0,0.0
"Subway, metro, underground",0.0,0.0205,0.0,0.0
Aircraft,0.0,0.0103,0.0,0.0
Aircraft engine,0.0,0.0,0.0,0.0
Jet engine,0.0,0.0,0.0,0.0
"Propeller, airscrew",0.0,0.0,0.0,0.0
Helicopter,0.0,0.0,0.0,0.0
"Fixed-wing aircraft, airplane",0.0,0.0,0.0,0.0
Bicycle,0.0,0.0103,0.0,0.0
Skateboard,0.0,0.0,0.0,0.0
Engine,0.0,0.0,0.0,0.0
Light engine (high frequency),0.0,0.0,0.0,0.0
"Dental drill, dentist's drill",0.0,0.0,0.0,0.0
Lawn mower,0.0,0.0,0.0,0.0
Chainsaw,0.0,0.0,0.0,0.0
Medium engine (mid frequency),0.0,0.0,0.0,0.0
Heavy engine (low frequency),0.0,0.0,0.0,0.0
Engine knocking,0.0,0.0,0.0,0.0
Engine starting,0.0,0.0,0.0,0.0
Idling,0.0,0.0,0.0,0.0
"Accelerating, revving, vroom",0.0,0.0103,0.0,0.0
Door,2.5556,0.2774,0.4821,6.7241
Doorbell,0.0,0.0,0.0,0.0
Ding-dong,0.0,0.0,0.0,0.0
Sliding door,2.4444,0.4623,0.75,2.6897
Slam,0.0,0.0,0.0,0.2586
